Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Smoke,Chrome 88.0.4324.146,,,2021-02-02 23:27:48,2021-02-02 23:29:40,1m - 52.482s,FAILED
,,,,,,,
Test Cases/Register,Chrome 88.0.4324.146,,,2021-02-02 23:27:49,2021-02-02 23:28:06,17.329s,PASSED
"runFeatureFile(""Include/features/Register/Register-success.feature"")",Chrome 88.0.4324.146,,,2021-02-02 23:27:49,2021-02-02 23:28:06,16.876s,PASSED
,,,,,,,
Test Cases/Login,Chrome 88.0.4324.146,,,2021-02-02 23:28:06,2021-02-02 23:28:30,23.513s,PASSED
"runFeatureFile(""Include/features/login/Login-success.feature"")",Chrome 88.0.4324.146,,,2021-02-02 23:28:06,2021-02-02 23:28:30,23.368s,PASSED
,,,,,,,
Test Cases/Add Contact_Delete Contact,Chrome 88.0.4324.146,,,2021-02-02 23:28:30,2021-02-02 23:29:28,58.756s,FAILED
"runFeatureFile(""Include/features/Add_Contact/AddContact.feature"")",Chrome 88.0.4324.146,,,2021-02-02 23:28:30,2021-02-02 23:29:08,37.564s,PASSED
"runFeatureFile(""Include/features/Add_Contact/DeleteContact.feature"")",Chrome 88.0.4324.146,,,2021-02-02 23:29:08,2021-02-02 23:29:28,20.940s,FAILED
,,,,,,,
Test Cases/Verify Existing Contacts,Chrome 88.0.4324.146,,,2021-02-02 23:29:28,2021-02-02 23:29:40,11.913s,PASSED
"runFeatureFile(""Include/features/VerifyContacts/VerifyContacts.feature"")",Chrome 88.0.4324.146,,,2021-02-02 23:29:29,2021-02-02 23:29:40,11.667s,PASSED
